timestamp,value,anomaly_score,raw_score,norm_raw_score,exp_scores_sum,diff_value,anomaly_min,anomaly_max,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2011-07-01 00:00:01,0.08196473551639999,0.0,0.0,0.0,0.0,0.08196473551639999,,,0,0.0,0.0,0.0
2011-07-01 01:00:01,0.0989722357526,0.0,0.0,0.0,0.0,0.0989722357526,,,0,0.0,0.0,0.0
2011-07-01 02:00:01,0.0653139485883,0.0,0.0,0.0,0.0,0.0653139485883,,,0,0.0,0.0,0.0
2011-07-01 03:00:01,0.0706628339533,0.0,0.0,0.0,0.0,0.0706628339533,,,0,0.0,0.0,0.0
2011-07-01 04:00:01,0.102490196078,0.0,0.0,0.0,0.0,0.102490196078,,,0,0.0,0.0,0.0
2011-07-01 05:00:01,0.123394648829,0.0,0.0,0.0,0.0,0.123394648829,,,0,0.0,0.0,0.0
2011-07-01 06:00:01,0.153045112782,0.0,0.0,0.0,0.0,0.153045112782,,,0,0.0,0.0,0.0
2011-07-01 07:00:01,0.148321513002,0.0,0.0,0.0,0.0,0.148321513002,,,0,0.0,0.0,0.0
2011-07-01 08:00:01,0.218257756563,0.0,0.0,0.0,0.0,0.218257756563,,,0,0.0,0.0,0.0
2011-07-01 09:00:01,0.226597938144,0.0,0.0,0.0,0.0,0.226597938144,,,0,0.0,0.0,0.0
2011-07-01 10:00:01,0.174045801527,0.0,0.0,0.0,0.0,0.174045801527,,,0,0.0,0.0,0.0
2011-07-01 11:00:01,0.159901960784,0.0,0.0,0.0,0.0,0.159901960784,,,0,0.0,0.0,0.0
2011-07-01 12:00:01,0.145626477541,0.0,0.0,0.0,0.0,0.145626477541,,,0,0.0,0.0,0.0
2011-07-01 13:00:01,0.143828571429,0.0,0.0,0.0,0.0,0.143828571429,,,0,0.0,0.0,0.0
2011-07-01 14:00:01,0.136604651163,0.0,0.0,0.0,0.0,0.136604651163,,,0,0.0,0.0,0.0
