timestamp,value,anomaly_score,raw_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2015-08-31 18:22:00,90,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 18:32:00,80,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 18:57:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 19:07:00,94,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 19:12:00,90,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 19:17:00,91,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 19:47:00,62,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 20:12:00,96,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 20:27:00,75,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 20:42:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 20:47:00,86,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 20:52:00,93,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 21:22:00,69,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 21:27:00,88,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 21:32:00,71,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 21:47:00,74,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 21:57:00,68,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 22:07:00,88,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 22:17:00,71,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 22:22:00,87,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 22:27:00,82,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 23:37:00,68,0.0,0.0,0,0.0,0.0,0.0
2015-08-31 23:57:00,73,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 00:07:00,69,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 00:12:00,57,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 00:17:00,43,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 00:22:00,47,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 00:47:00,73,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 00:57:00,78,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 01:07:00,83,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 01:32:00,87,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 01:52:00,77,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 02:22:00,80,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 02:37:00,69,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 02:47:00,63,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 03:02:00,78,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 03:27:00,66,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 03:47:00,72,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 03:52:00,54,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 04:02:00,73,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 04:07:00,82,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 04:22:00,90,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 04:27:00,92,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 04:37:00,63,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 04:52:00,69,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 05:02:00,97,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 05:12:00,85,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 05:20:00,86,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 05:25:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 05:30:00,88,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 05:40:00,78,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 05:45:00,88,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 05:50:00,80,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:10:00,75,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:15:00,88,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:20:00,69,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:25:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:30:00,76,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:35:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:40:00,87,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:45:00,87,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:50:00,67,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 06:55:00,62,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:00:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:05:00,89,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:10:00,81,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:15:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:20:00,85,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:25:00,89,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:30:00,81,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:40:00,91,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:45:00,82,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:50:00,94,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 07:55:00,85,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:00:00,102,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:05:00,76,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:10:00,86,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:15:00,87,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:30:00,83,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:35:00,93,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:40:00,87,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:45:00,80,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:50:00,87,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 08:55:00,75,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 09:00:00,75,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 09:05:00,68,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 09:10:00,94,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 09:15:00,77,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 09:20:00,82,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 09:25:00,94,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 09:30:00,78,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 09:50:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 10:05:00,82,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 10:10:00,100,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 10:20:00,68,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 10:35:00,81,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 10:45:00,93,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 10:50:00,91,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 10:55:00,78,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 10:59:00,77,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 11:05:00,85,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 11:10:00,84,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 11:15:00,72,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 11:25:00,58,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 11:30:00,80,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 11:45:00,66,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 11:50:00,86,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 11:55:00,74,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 12:00:00,86,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 12:05:00,71,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 12:10:00,87,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 12:25:00,73,0.0,0.0,0,0.0,0.0,0.0
2015-09-01 12:40:00,76,0.0,0.0,0,0.0,0.0,0.0
