timestamp,value,anomaly_score,raw_score,norm_raw_score,exp_scores_sum,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2014-04-02 14:29:00,42.652,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 14:34:00,41.362,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 14:39:00,43.408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 14:44:00,40.262,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 14:49:00,40.328,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 14:54:00,42.652,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 14:59:00,39.836,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:04:00,42.57,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:09:00,45.212,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:14:00,41.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:19:00,42.91,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:24:00,43.756,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:29:00,38.522,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:34:00,42.488,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:39:00,41.268,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:44:00,42.136,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:49:00,42.066,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:54:00,43.544,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 15:59:00,38.404,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:04:00,42.018,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:09:00,44.872,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:14:00,40.658,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:19:00,42.276,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:24:00,43.052,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:29:00,43.56800000000001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:34:00,38.356,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:39:00,39.788,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:44:00,41.83,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:49:00,39.038,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:54:00,42.184,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 16:59:00,41.76,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 17:04:00,43.99,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2014-04-02 17:09:00,41.476000000000006,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
